country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Ireland	IRL	Europe	5006324	cases	4087.0	2022-20	170.444421895187	1533995	TESSy COVID-19		2022-05-29
Ireland	IRL	Europe	5006324	deaths	41.0	2022-20	22.5714516279809	7244	Epidemic intelligence national data		2022-05-29
Isle Of Man	IMN	Europe	85032	cases	194.0	2022-20	435.130303885596	32794	Epidemic intelligence national data		2022-05-29
Isle Of Man	IMN	Europe	85032	deaths	0.0	2022-20	11.7602784833945	105	Epidemic intelligence national data		2022-05-29
Israel	ISR	Asia	8655541	cases	14121.0	2022-20	366.84015476329	4123806	Epidemic intelligence national data		2022-05-29
Israel	ISR	Asia	8655541	deaths	33.0	2022-20	10.6290294275078	10833	Epidemic intelligence national data		2022-05-29
Italy	ITA	Europe	59236213	cases	140721.0	2022-20	664.831494207775	17285705	TESSy COVID-19		2022-05-29
Italy	ITA	Europe	59236213	deaths	708.0	2022-20	24.6977300861552	165952	Epidemic intelligence national data		2022-05-29
Jamaica	JAM	America	2961161	cases	2184.0	2022-20	127.179846013101	135093	Epidemic intelligence national data		2022-05-29
Jamaica	JAM	America	2961161	deaths	26.0	2022-20	19.2492066456366	3037	Epidemic intelligence national data		2022-05-29
Japan	JPN	Asia	126476458	cases	245009.0	2022-20	409.438252927671	8600312	Epidemic intelligence national data		2022-05-29
Japan	JPN	Asia	126476458	deaths	246.0	2022-20	3.90586523224741	30299	Epidemic intelligence national data		2022-05-29
Jersey	JEY	Europe	107796	cases	206.0	2022-20	376.637352035326	50439	Epidemic intelligence national data		2022-05-29
Jersey	JEY	Europe	107796	deaths	2.0	2022-20	18.5535641396712	129	Epidemic intelligence national data		2022-05-29
Jordan	JOR	Asia	10203140	cases	309.0	2022-20	6.01775531846079	1696668	Epidemic intelligence national data		2022-05-29
Jordan	JOR	Asia	10203140	deaths	0.0	2022-20	0.0	14066	Epidemic intelligence national data		2022-05-29
Kazakhstan	KAZ	Asia	18776707	cases	87.0	2022-20	0.937331556592964	1394808	Epidemic intelligence national data		2022-05-29
Kazakhstan	KAZ	Asia	18776707	deaths	0.0	2022-20	0.0532574748064184	19015	Epidemic intelligence national data		2022-05-29
Kenya	KEN	Africa	53771300	cases	216.0	2022-20	0.671361860323258	324242	Epidemic intelligence national data		2022-05-29
Kenya	KEN	Africa	53771300	deaths	2.0	2022-20	0.0371945628987955	5651	Epidemic intelligence national data		2022-05-29
Kiribati	KIR	Oceania	119446	cases	5.0	2022-20	7.53478559348995	3098	Epidemic intelligence national data		2022-05-29
Kiribati	KIR	Oceania	119446	deaths	0.0	2022-20	0.0	13	Epidemic intelligence national data		2022-05-29
Kosovo	XKX	Europe	1782115	cases	68.0	2022-20	9.14643555550568	228309	Epidemic intelligence national data		2022-05-29
Kosovo	XKX	Europe	1782115	deaths	0.0	2022-20	0.561131015675195	3139	Epidemic intelligence national data		2022-05-29
Kuwait	KWT	Asia	4270563	cases	400.0	2022-20	19.5056249023841	632474	Epidemic intelligence national data		2022-05-29
Kuwait	KWT	Asia	4270563	deaths	0.0	2022-20	0.0	2555	Epidemic intelligence national data		2022-05-29
Kyrgyzstan	KGZ	Asia	6524191	cases	0.0	2022-20	0.0	200993	Epidemic intelligence national data		2022-05-29
Kyrgyzstan	KGZ	Asia	6524191	deaths	0.0	2022-20	0.0	2991	Epidemic intelligence national data		2022-05-29
